linear,linear_error,circular,circular_error,frequency,filename,snr,rm,rm_left,rm_right
99.43,0.48,-6.09,0.34,1106.85,20200412-1045,296.59,-697.72,3.86,-3.86
89.01,1.13,-28.82,0.88,1243.22,20200412-0104,118.91,-731.53,5.08,-5.13
98.08,0.42,-3.77,0.3,1301.81,20200412-0410,337.03,-691.61,2.46,-2.46
94.96,0.43,-24.5,0.32,1382.41,20200412-1054,320.58,-739.96,5.44,-5.44
96.82,0.18,-3.52,0.13,1164.57,20200412-1071,760.01,-706.88,2.98,-3.02
97.5,1.57,-7.28,1.12,1058.93,20200412-0877,89.18,-676.72,3.76,-3.76
101.07,4.64,2.55,3.26,1195.73,20200412-0013,30.65,-734.53,5.23,-5.27
97.61,0.27,-10.53,0.2,1160.11,20200412-0281,513.61,-678.64,3.12,-3.12
79.6,1.53,-52.06,1.35,1339.34,20200412-0449,83.44,-747.85,5.59,-5.59
100.91,3.96,17.98,2.83,1180.08,20200412-0981,35.91,-744.92,5.27,-5.31
97.36,0.17,-6.15,0.12,1120.67,20200412-0021,836.47,-702.8,3.37,-3.37
98.85,0.62,-0.61,0.44,1250.13,20200412-1087,227.1,-688.5,3.69,-3.69
99.08,0.85,0.43,0.6,1097.86,20200412-0280,166.31,-734.76,4.07,-4.07
98.3,1.18,0.83,0.84,1203.03,20200412-0375,119.15,-708.67,0.97,-1.01
95.43,0.41,5.28,0.3,1181.65,20200412-0394,334.01,-713.77,4.04,-4.04
93.22,1.99,-13.41,1.47,1116.19,20200412-0415,68.76,-725.75,4.35,-4.35
96.71,0.73,12.31,0.53,1114.99,20200412-1002,189.3,-709.56,3.93,-3.93
95.66,2.85,24.63,2.12,1363.59,20200412-0547,48.62,-705.89,8.06,-8.06
92.1,2.7,-29.18,2.07,1052.06,20200412-0753,50.28,-690.6,3.86,-3.89
82.31,6.57,9.86,5.09,1144.84,20200412-0241,19.73,-718.67,4.85,-4.78
95.36,0.75,-6.69,0.54,1070.05,20200412-0991,185.27,-699.67,4.12,-4.12
95.78,0.66,-0.63,0.48,1121.85,20200412-0442,209.3,-702.71,4.11,-4.15
74.66,7.5,-4.36,6.02,1139.68,20200412-0384,16.63,-747.77,4.71,-4.74
